protest3,wtssall,year,Age,Marital_Status,Kids,Income,Education,Subj_class,Ideology,PolParty,RedBluePres,Religion,ChurchAttendance,ReligiousStrength,Gender,Race,Work_Status,Decade,Census_Region
0,1.0363,1985,"[18,35]",Married,0,Quint3,College,Middle Class,Liberal,Democrat,Republican President,Other,Rarely,Not Strong,Male,White,Employed,80’s,East
1,1.0363,1985,"(35,50]",Married,4+,Top 20%,Graduate,Upper Class,Conservative,Republican,Republican President,Catholic,Rarely,Not Strong,Male,White,Employed,80’s,East
1,1.0363,1985,"[18,35]",Never Married,0,Bottom 20%,College,Upper Class,Liberal,Democrat,Republican President,Other,Rarely,Not Strong,Female,White,Employed,80’s,East
1,0.5181,1985,"(35,50]",Never Married,0,Quint3,Graduate,Middle Class,Liberal,Democrat,Republican President,Other,Rarely,Not Strong,Female,White,Unemployed,80’s,East
0,1.0363,1985,"[18,35]",Married,1,Quint2,College,Working Class,Conservative,Democrat,Republican President,Catholic,Sometimes,Not Strong,Male,Non White,Employed,80’s,East
0,1.0363,1985,65+,Married,0,Bottom 20%,L/T High School,Working Class,Conservative,Democrat,Republican President,Protestant,Sometimes,Strong,Male,Non White,Other,80’s,East
1,0.5181,1985,65+,Widowed,0,Bottom 20%,L/T High School,Working Class,Liberal,Democrat,Republican President,Protestant,Rarely,Strong,Female,Non White,Other,80’s,East
0,1.0363,1985,65+,Married,3,Quint2,L/T High School,Working Class,Conservative,Republican,Republican President,Catholic,Weekly,Strong,Male,White,Other,80’s,East
0,1.0363,1985,65+,Widowed,3,Bottom 20%,L/T High School,Middle Class,Liberal,Democrat,Republican President,Catholic,Weekly,Strong,Female,White,Other,80’s,East
0,0.5181,1985,65+,Widowed,3,Bottom 20%,High School,Middle Class,Liberal,Democrat,Republican President,Protestant,Sometimes,Strong,Male,Non White,Other,80’s,East
0,1.0363,1985,"[18,35]",Married,0,Top 20%,College,Middle Class,Conservative,Republican,Republican President,Catholic,Sometimes,Strong,Male,White,Employed,80’s,East
1,1.5544,1985,"(50,65]",Divorce/Sep,4+,Bottom 20%,High School,Middle Class,Liberal,Democrat,Republican President,Catholic,Weekly,Not Strong,Female,Non White,Employed,80’s,East
1,1.0363,1985,"(50,65]",Married,2,Quint3,L/T High School,Middle Class,Moderate,Democrat,Republican President,Protestant,Rarely,Not Strong,Male,Non White,Employed,80’s,East
1,1.0363,1985,65+,Widowed,2,Top 20%,College,Middle Class,Liberal,Democrat,Republican President,Other,Rarely,Missing_relig_strength,Male,White,Employed,80’s,East
0,0.5181,1985,"(50,65]",Widowed,2,Missing_Inc,High School,Middle Class,Moderate,Democrat,Republican President,Other,Sometimes,Missing_relig_strength,Female,White,Unemployed,80’s,East
0,0.5181,1985,"[18,35]",Never Married,0,Quint3,High School,Working Class,Liberal,Republican,Republican President,Catholic,Rarely,Missing_relig_strength,Female,White,Employed,80’s,East
0,1.5544,1985,"(35,50]",Married,2,Top 20%,High School,Working Class,Moderate,Republican,Republican President,Catholic,Sometimes,Missing_relig_strength,Male,White,Employed,80’s,East
1,0.5181,1985,"[18,35]",Never Married,0,Quint4,High School,Upper Class,Moderate,Republican,Republican President,Protestant,Weekly,Strong,Female,White,Unemployed,80’s,East
0,0.5181,1985,"[18,35]",Never Married,0,Bottom 20%,College,Upper Class,Moderate,Democrat,Republican President,Other,Weekly,Strong,Female,White,Employed,80’s,West
1,0.5181,1985,"(35,50]",Divorce/Sep,2,Quint2,High School,Middle Class,Moderate,Republican,Republican President,Other,Sometimes,Not Strong,Male,White,Employed,80’s,West
0,1.0363,1985,"[18,35]",Never Married,0,Quint3,College,Middle Class,Liberal,Democrat,Republican President,Protestant,Sometimes,Not Strong,Male,White,Employed,80’s,West
1,0.5181,1985,"[18,35]",Divorce/Sep,0,Quint3,College,Working Class,Liberal,Democrat,Republican President,Other,Rarely,Not Strong,Female,White,Employed,80’s,West
1,1.5544,1985,"[18,35]",Never Married,0,Missing_Inc,College,Working Class,Conservative,Democrat,Republican President,Protestant,Sometimes,Strong,Female,White,Employed,80’s,West
1,0.5181,1985,"(35,50]",Never Married,0,Bottom 20%,High School,Working Class,Liberal,Democrat,Republican President,Other,Rarely,Not Strong,Male,White,Employed,80’s,West
1,0.5181,1985,"(35,50]",Divorce/Sep,1,Quint3,High School,Working Class,Conservative,Democrat,Republican President,Other,Rarely,Not Strong,Female,White,Employed,80’s,West
0,1.0363,1985,65+,Married,3,Quint2,L/T High School,Middle Class,Moderate,Republican,Republican President,Protestant,Weekly,Strong,Female,White,Other,80’s,West
1,0.5181,1985,"(35,50]",Never Married,0,Quint3,College,Middle Class,Moderate,Democrat,Republican President,Catholic,Rarely,Not Strong,Female,White,Employed,80’s,West
