racpres,wtssall,year,Age,Marital_Status,Kids,Income,Education,Subj_class,Ideology,PolParty,RedBluePres,Religion,ChurchAttendance,ReligiousStrength,Gender,Race,Work_Status,Decade,Census_Region
1,0.4446,1972,"[18,35]",Never Married,0,Quint2,College,Middle Class,Missing_Ideo,Democrat,Republican President,Other,Rarely,Missing_relig_strength,Female,White,Employed,70’s,MidWest
1,0.8893,1972,65+,Married,4+,Quint3,L/T High School,Middle Class,Missing_Ideo,Democrat,Republican President,Catholic,Weekly,Missing_relig_strength,Male,White,Other,70’s,MidWest
1,0.8893,1972,"(35,50]",Married,4+,Quint3,High School,Working Class,Missing_Ideo,Other,Republican President,Protestant,Sometimes,Missing_relig_strength,Female,White,Employed,70’s,MidWest
1,0.8893,1972,"[18,35]",Married,0,Quint3,College,Middle Class,Missing_Ideo,Democrat,Republican President,Other,Rarely,Missing_relig_strength,Female,White,Employed,70’s,MidWest
1,0.8893,1972,"(50,65]",Married,2,Top 20%,High School,Working Class,Missing_Ideo,Democrat,Republican President,Protestant,Rarely,Missing_relig_strength,Female,White,Other,70’s,MidWest
0,0.4446,1972,"[18,35]",Never Married,0,Quint4,High School,Middle Class,Missing_Ideo,Democrat,Republican President,Protestant,Rarely,Missing_relig_strength,Male,White,Employed,70’s,MidWest
0,0.4446,1972,"[18,35]",Divorce/Sep,2,Quint4,High School,Middle Class,Missing_Ideo,Democrat,Republican President,Catholic,Weekly,Missing_relig_strength,Male,White,Employed,70’s,MidWest
1,0.4446,1972,"[18,35]",Never Married,0,Bottom 20%,College,Working Class,Missing_Ideo,Democrat,Republican President,Other,Rarely,Missing_relig_strength,Male,White,Employed,70’s,MidWest
1,0.8893,1972,"[18,35]",Married,2,Quint3,High School,Working Class,Missing_Ideo,Republican,Republican President,Protestant,Weekly,Missing_relig_strength,Male,White,Other,70’s,South
1,0.8893,1972,"(50,65]",Married,3,Quint2,L/T High School,Middle Class,Missing_Ideo,Republican,Republican President,Protestant,Weekly,Missing_relig_strength,Female,White,Other,70’s,South
1,1.3339,1972,"(35,50]",Married,3,Quint4,College,Middle Class,Missing_Ideo,Democrat,Republican President,Protestant,Weekly,Missing_relig_strength,Female,White,Employed,70’s,South
1,1.7786,1972,"[18,35]",Never Married,0,Top 20%,High School,Middle Class,Missing_Ideo,Republican,Republican President,Protestant,Sometimes,Missing_relig_strength,Female,White,Other,70’s,South
0,0.8893,1972,"(50,65]",Married,2,Quint4,High School,Middle Class,Missing_Ideo,Democrat,Republican President,Protestant,Sometimes,Missing_relig_strength,Male,White,Employed,70’s,South
1,0.8893,1972,"(50,65]",Married,2,Top 20%,High School,Upper Class,Missing_Ideo,Democrat,Republican President,Protestant,Rarely,Missing_relig_strength,Male,White,Employed,70’s,South
1,0.8893,1972,"[18,35]",Married,0,Bottom 20%,High School,Working Class,Missing_Ideo,Democrat,Republican President,Protestant,Rarely,Missing_relig_strength,Male,White,Employed,70’s,South
0,0.8893,1972,"[18,35]",Married,1,Quint2,High School,Working Class,Missing_Ideo,Republican,Republican President,Protestant,Rarely,Missing_relig_strength,Female,White,Other,70’s,South
0,0.8893,1972,65+,Married,0,Quint3,College,Middle Class,Missing_Ideo,Republican,Republican President,Protestant,Sometimes,Missing_relig_strength,Female,White,Other,70’s,MidWest
1,0.8893,1972,"(50,65]",Married,2,Quint3,High School,Working Class,Missing_Ideo,Republican,Republican President,Catholic,Weekly,Missing_relig_strength,Female,White,Employed,70’s,MidWest
1,0.8893,1972,"(35,50]",Married,2,Quint3,High School,Working Class,Missing_Ideo,Democrat,Republican President,Protestant,Rarely,Missing_relig_strength,Female,White,Employed,70’s,MidWest
1,0.8893,1972,"[18,35]",Married,0,Missing_Inc,High School,Middle Class,Missing_Ideo,Other,Republican President,Protestant,Sometimes,Missing_relig_strength,Male,White,Employed,70’s,MidWest
